# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ULAfld         14:(.)w_ULAfld           15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.685481423511e+04       2.455297709021e-06       2.589792643914e+01       6.898221660855e+02       1.265189434935e+04       7.505952648076e-01       2.132579808749e+08       1.480975089503e+01       2.221150658344e+05       1.173982778306e+04       6.414490143997e+04       2.985121549152e-08       2.420253331123e+04      -4.766080238686e-03       1.536522924541e+05       4.758546208228e+05       4.758546208228e+05       1.251404348804e+05      -2.050431179989e+04       9.273586607935e-04       2.482282427086e-01 
       1.673760075336e+04       2.488510434763e-06       2.606897153662e+01       6.807641297284e+02       1.265172330425e+04       7.558411536707e-01       2.117721452319e+08       1.490659636567e+01       2.160009568207e+05       1.149661450864e+04       6.281601554786e+04       2.985121549152e-08       2.370347139679e+04      -4.667802546111e-03       1.494227420509e+05       4.634398003249e+05       4.634398003249e+05       1.216972564997e+05      -1.981586155335e+04       9.289698347735e-04       2.492865661654e-01 
       1.662120212786e+04       2.522165078890e-06       2.624108725212e+01       6.718277278304e+02       1.265155118854e+04       7.611236520418e-01       2.102966410869e+08       1.500403496734e+01       2.100551376440e+05       1.125843939404e+04       6.151465750971e+04       2.985121549152e-08       2.321465201256e+04      -4.571541862259e-03       1.453096093213e+05       4.513524958817e+05       4.513524958817e+05       1.183487889016e+05      -1.915060260310e+04       9.305906959639e-04       2.503486389055e-01 
       1.650561269449e+04       2.556267384703e-06       2.641427959009e+01       6.630113035343e+02       1.265137799620e+04       7.664430147090e-01       2.088313966349e+08       1.510206984981e+01       2.042729764318e+05       1.102519808172e+04       6.024025712953e+04       2.985121549152e-08       2.273586689113e+04      -4.477257174103e-03       1.413096900801e+05       4.395839886142e+05       4.395839886142e+05       1.150924278474e+05      -1.850775148467e+04       9.322213096908e-04       2.514144537916e-01 
       1.639082682847e+04       2.590823167711e-06       2.658855458095e+01       6.543132227254e+02       1.265120372121e+04       7.717994982250e-01       2.073763405698e+08       1.520070417402e+01       1.986499687887e+05       1.079678837567e+04       5.899225602137e+04       2.985121549152e-08       2.226691192088e+04      -4.384908286993e-03       1.374198683267e+05       4.281257934333e+05       4.281257934333e+05       1.119256406718e+05      -1.788655126601e+04       9.338617416926e-04       2.524840034512e-01 
       1.627683894415e+04       2.625838316496e-06       2.676391828110e+01       6.457318737181e+02       1.265102835751e+04       7.771933609192e-01       2.059314020814e+08       1.529994111206e+01       1.931817342891e+05       1.057311019654e+04       5.777010736473e+04       2.985121549152e-08       2.180758706628e+04      -4.294455808961e-03       1.336371138188e+05       4.169696527355e+05       4.169696527355e+05       1.088459643170e+05      -1.728627064717e+04       9.355120581230e-04       2.535572802749e-01 
       1.616364349469e+04       2.661318793592e-06       2.694037677300e+01       6.372656669470e+02       1.265085189902e+04       7.826248629096e-01       2.044965108518e+08       1.539978384711e+01       1.878640130647e+05       1.035406553789e+04       5.657327566498e+04       2.985121549152e-08       2.135769628958e+04      -4.205861135305e-03       1.299584797123e+05       4.061075302694e+05       4.061075302694e+05       1.058510034209e+05      -1.670620309042e+04       9.371723255527e-04       2.546342764156e-01 
       1.605123497182e+04       2.697270636369e-06       2.711793616516e+01       6.289130346626e+02       1.265067433962e+04       7.880942661152e-01       2.030715970516e+08       1.550023557347e+01       1.826926624871e+05       1.013955842318e+04       5.540123651882e+04       2.985121549152e-08       2.091704747391e+04      -4.119086433436e-03       1.263811002655e+05       3.955316051686e+05       3.955316051686e+05       1.029384284577e+05      -1.614566598011e+04       9.388426109722e-04       2.557149837878e-01 
       1.593960790555e+04       2.733699957933e-06       2.729660259217e+01       6.206724306307e+02       1.265049567320e+04       7.936018342685e-01       2.016565913373e+08       1.560129949649e+01       1.776636539411e+05       9.929494863807e+03       5.425347638458e+04       2.985121549152e-08       2.048545234769e+04      -4.034094628001e-03       1.229021886079e+05       3.852342661450e+05       3.852342661450e+05       1.001059739297e+05      -1.560399981100e+04       9.405229817940e-04       2.567993940662e-01 
       1.582875686392e+04       2.770612948031e-06       2.747638221477e+01       6.125423298362e+02       1.265031589357e+04       7.991478329278e-01       2.002514248471e+08       1.570297883257e+01       1.727730696869e+05       9.723782817859e+03       5.312949235720e+04       2.985121549152e-08       2.006272641039e+04      -3.950849386265e-03       1.195190345689e+05       3.752081058412e+05       3.752081058412e+05       9.735143660822e+04      -1.508056740415e+04       9.422135058550e-04       2.578874986851e-01 
