# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.380679391905e-01       1.479531354904e+03 
       2.412816018521e-01       1.450230992859e+03 
       2.444952660162e-01       1.423188267226e+03 
       2.477089316238e-01       1.397489468066e+03 
       2.509225986192e-01       1.372120450107e+03 
       2.541362669493e-01       1.346420023909e+03 
       2.573499365640e-01       1.319911750643e+03 
       2.605636074152e-01       1.292305068723e+03 
       2.637772794577e-01       1.263559179151e+03 
       2.669909526481e-01       1.233813693318e+03 
       2.702046269452e-01       1.203332599481e+03 
       2.734183023097e-01       1.172542500934e+03 
       2.766319787043e-01       1.141945202960e+03 
       2.798456560933e-01       1.112025049473e+03 
       2.830593344425e-01       1.083256552577e+03 
       2.862730137195e-01       1.056046175185e+03 
       2.894866938933e-01       1.030600659610e+03 
       2.927003749340e-01       1.007051514723e+03 
       2.959140568133e-01       9.853734012963e+02 
       2.991277395041e-01       9.653997491618e+02 
       3.023414229803e-01       9.469075820246e+02 
       3.055551072170e-01       9.296395274770e+02 
       3.087687921904e-01       9.133154780574e+02 
       3.119824778775e-01       8.976057727082e+02 
       3.151961642564e-01       8.822895631304e+02 
       3.184098513061e-01       8.670912955712e+02 
       3.216235390064e-01       8.518294149177e+02 
       3.248372273378e-01       8.363786739795e+02 
       3.280509162817e-01       8.206934131818e+02 
       3.312646058203e-01       8.047762966532e+02 
       3.344782959362e-01       7.887919212818e+02 
       3.376919866130e-01       7.727803661134e+02 
       3.409056778346e-01       7.569602923643e+02 
       3.441193695858e-01       7.414457081726e+02 
       3.473330618518e-01       7.263618008139e+02 
       3.505467546183e-01       7.118109316044e+02 
       3.537604478717e-01       6.978641670306e+02 
       3.569741415987e-01       6.845828154162e+02 
       3.601878357867e-01       6.719858646843e+02 
       3.634015304232e-01       6.600605132298e+02 
       3.666152254966e-01       6.487501321265e+02 
       3.698289209953e-01       6.379738202965e+02 
       3.730426169084e-01       6.276181035059e+02 
       3.762563132250e-01       6.175918650977e+02 
       3.794700099351e-01       6.077925005060e+02 
       3.826837070285e-01       5.981448864762e+02 
