# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.501714199618e-01       9.749409412318e+02 
       4.533851235238e-01       9.680671392087e+02 
       4.565988273101e-01       9.612655605080e+02 
       4.598125313161e-01       9.545313399976e+02 
       4.630262355371e-01       9.478656407068e+02 
       4.662399399686e-01       9.412725128690e+02 
       4.694536446064e-01       9.347570294997e+02 
       4.726673494461e-01       9.283235912206e+02 
       4.758810544837e-01       9.219763522294e+02 
       4.790947597152e-01       9.157198180462e+02 
       4.823084651368e-01       9.095637185656e+02 
       4.855221707445e-01       9.035129811840e+02 
       4.887358765348e-01       8.975762339528e+02 
       4.919495825040e-01       8.917553401503e+02 
       4.951632886487e-01       8.860501406142e+02 
       4.983769949654e-01       8.804546270370e+02 
       5.015907014508e-01       8.749599310070e+02 
       5.048044081018e-01       8.695557923467e+02 
       5.080181149151e-01       8.642398418877e+02 
       5.112318218876e-01       8.589901162418e+02 
       5.144455290164e-01       8.538230829304e+02 
       5.176592362986e-01       8.487172209829e+02 
       5.208729437313e-01       8.436682282445e+02 
       5.240866513118e-01       8.386834378201e+02 
       5.273003590372e-01       8.337529619108e+02 
       5.305140669051e-01       8.288742533946e+02 
       5.337277749127e-01       8.240489428426e+02 
       5.369414830576e-01       8.192854785323e+02 
       5.401551913374e-01       8.145752740096e+02 
       5.433688997495e-01       8.099277033099e+02 
       5.465826082918e-01       8.053393031936e+02 
       5.497963169619e-01       8.008176931688e+02 
       5.530100257575e-01       7.963586909614e+02 
       5.562237346765e-01       7.919593215325e+02 
       5.594374437167e-01       7.876185821272e+02 
       5.626511528761e-01       7.833366538844e+02 
       5.658648621527e-01       7.791124328309e+02 
       5.690785715443e-01       7.749455091603e+02 
       5.722922810492e-01       7.708335610275e+02 
       5.755059906654e-01       7.667733037463e+02 
       5.787197003910e-01       7.627609764486e+02 
       5.819334102242e-01       7.587940241257e+02 
       5.851471201632e-01       7.548697154743e+02 
       5.883608302063e-01       7.509880277682e+02 
       5.915745403519e-01       7.471490951372e+02 
       5.947882505981e-01       7.433527182012e+02 
       5.980019609435e-01       7.395979761309e+02 
       6.012156713864e-01       7.358835317100e+02 
       6.044293819252e-01       7.322078154728e+02 
       6.076430925584e-01       7.285697495919e+02 
       6.108568032846e-01       7.249695801015e+02 
       6.140705141023e-01       7.214080691587e+02 
       6.172842250099e-01       7.178859939357e+02 
       6.204979360062e-01       7.144045042330e+02 
       6.237116470898e-01       7.109626281712e+02 
       6.269253582593e-01       7.075591194439e+02 
       6.301390695134e-01       7.041917990956e+02 
       6.667540561749e-01       6.681585811402e+02 
       7.107351280455e-01       6.297106286011e+02 
       7.661003767576e-01       5.873242279190e+02 
       8.406393031317e-01       5.383824107176e+02 
       9.505981221918e-01       4.785561386231e+02 
       1.127496313035e+00       4.030933196923e+02 
       1.400595265656e+00       3.176839438630e+02 
       1.762121257978e+00       2.390938901864e+02 
       2.218365039550e+00       1.730955569226e+02 
       2.792756088276e+00       1.206593681738e+02 
       3.515871608464e+00       8.131494477086e+01 
       4.426220112501e+00       5.327056310928e+01 
       5.572280977822e+00       3.411013243862e+01 
       7.015086124637e+00       2.145309624476e+01 
       8.831470188231e+00       1.330769052761e+01 
       1.111816224347e+01       8.168991491229e+00 
       1.399693698075e+01       4.975284491887e+00 
       1.762109965235e+01       3.012427831761e+00 
       2.218365013610e+01       1.816010140744e+00 
       2.792756088269e+01       1.091219485221e+00 
       3.515871608464e+01       6.541277387797e-01 
